Address,Borough,Items_Accepted,Latitude,Longitude,Vendor_Name
1169 Bay St,Staten Island,"Clothing, Shoes, Accessories",40.614809,-74.066443,Community Recycling LLC
972 Remsen Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.644289,-73.910975,Helpsy
2107 Cornaga AveFar,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.602021,-73.754232,Helpsy
526 Georgia Ave,Brooklyn,"Clothing, Shoes, Coats",40.663515,-73.895971,Pentecostal Church of God in Christ
114 5th Ave,Manhattan,"Clothing, Shoes, Purses, Gloves, Scarves, Hats, belts, Towels, Curtains, Bedding and Linens. Clean Rags and Torn Clothing",40.7379,-73.99269,Lululemon
6025 6th Ave,Brooklyn,"Clothing, Shoes, Coats",40.637551,-74.014162,Family Support Center of NYU Langone
4640 Furman Ave,Bronx,"Clothing, Shoes, Coats",40.902461,-73.849667,RCCG Tabernacle of Restoration
150-51 Northern Blvd,Queens,"Clothing, Shoes, Coats",40.765365,-73.813326,H&M Leasing Corp
167 Chester St,Brooklyn,"Clothing, Shoes, Coats",40.667733,-73.910955,Mt. Hebron Church of Christ
298 W 231 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.880539,-73.908334,County Recycling LLC
484 Knickerbocker Ave,Brooklyn,"Clothing, Shoes, Coats",40.698028,-73.917556,Ujima Community Working Together
1968 Jerome Ave,Bronx,"Clothing, Shoes",40.851866,-73.908586,Usagain LLC
120 East 32nd,Manhattan,"Clothing, Shoes, Accessories, Coats",40.745281,-73.981419,Grand Central Neighborhood Social Service Corporation
49 Tompkins Ave,Staten Island,"Clothing, Shoes, Bedding And Linens, Coats, Accessories, Rugs, Towels, Fabric",40.623361,-74.078731,Stapleton UAME Church
108-11 Sutphin Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.693255,-73.798249,Helpsy
2759 Webster Ave,Bronx,"Clothing, Shoes, Coats",40.865481,-73.88636,Part of the Solution (POTS)
281 Bruckner Blvd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.805649,-73.911324,Helpsy
401 E 80 St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.640972,-73.918985,Helpsy
94-02 111 St,Queens,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.691795,-73.835047,American Recycling Technologies Inc.
2259 Ralph Ave,Brooklyn,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.622815,-73.917079,American Recycling Technologies Inc.
1420 Bushwick Ave,Brooklyn,"Clothing, Shoes, Coats",40.684115,-73.909229,"Family Service Network of NY, Inc"
358 St Marks Pl,Staten Island,"Clothing, Shoes",40.641062,-74.078049,Families on the Move NYC
2811 Boston Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.867477,-73.86033,Helpsy
1255 Westchester Ave,Bronx,"Clothing, Shoes",40.827199,-73.887326,Usagain LLC
46-06 Ditmars Blvd,Queens,"Clothing, Shoes, Accessories, Bedding And Linens, Towels , Coats",40.770053,-73.902437,American Recycling Resources
10 Columbus Circle,Manhattan,Contact store for details,40.768237,-73.982865,J. Crew
414 W 14 St,Manhattan,Contact store for details,40.741184,-74.006555,Patagonia
263 W 86th St,Manhattan,"Clothing, Shoes, Coats",40.788925,-73.977286,West Side Campaign Against Hunger
1430 Watson Ave,Bronx,"Clothing, Shoes",40.825251,-73.882611,Usagain LLC
352 E 149 St,Bronx,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.816367,-73.919421,The Salvation Army 149th Street
2008 Webster Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.850287,-73.899009,Helpsy
321 8 ave,Manhattan,"used clothing, textiles and shoes",40.74702,-73.99775,Wareable Collections
82-10 Queens Blvd,Queens,"Clothing, Shoes, Coats",40.736946,-73.881164,New Life Community Development Corporation
4008 Corporal Kennedy St,Queens,"Accessories, Linens",40.762879,-73.775871,The Worthy Pause Thrift & Gift Shop
41 West 124 St,Manhattan,"Clothing, Shoes, Coats",40.80661,-73.944179,Antioch Outreach Ministries
9-18 27 Ave,Queens,Clothing,40.773658,-73.930588,The Bridge to Life
145-15 Rockaway Blvd,Queens,"Clothing, Shoes",40.673882,-73.792985,Planet Aid
3560 Amboy Rd,Staten Island,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.554779,-74.140292,American Recycling Technologies Inc.
4844 Hylan Blvd,Staten Island,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.526554,-74.167381,American Recycling Technologies Inc.
2094 Fulton St,Brooklyn,"Clothing, Shoes, Coats",40.678332,-73.913849,Neighbors Together
114-02 Guy R Brewer Blvd,Queens,"Clothing, Shoes",40.688524,-73.785806,Usagain LLC
115 E 138 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.813835,-73.930654,Helpsy
87 Oak St,Brooklyn,Contact store for details,40.727751,-73.95744,Flying Squirrel
5001 Kings Hwy,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.634925,-73.92829,Helpsy
64-01 Woodhaven Blvd,Queens,"Clothing, Shoes",40.721465,-73.865941,Usagain LLC
2172 Forest Ave,Staten Island,"Clothing, Shoes",40.626093,-74.162,Usagain LLC
8772 18 Ave,Brooklyn,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.603831,-74.006647,American Recycling Technologies Inc.
112-20 Farmers Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.700123,-73.764115,Helpsy
2915 Surf Ave,Brooklyn,"Clothing, Shoes",40.573004,-73.995582,Planet Aid
719 E 223rd St,Bronx,"Clothing, Shoes, Coats",40.886364,-73.860407,Shiloh Temple Church
740 40th St,Brooklyn,"Clothing, Shoes, Coats",40.647254,-73.999422,Children of the City
7310 New Utrecht Ave,Brooklyn,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.617062,-73.999806,American Recycling Technologies Inc.
25-39 Parsons Blvd,Queens,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.775691,-73.823584,American Recycling Technologies Inc.
1862 Webster Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.846966,-73.90083,Helpsy
3055 Westchester Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.848547,-73.831155,County Recycling LLC
219-14 Merrick Blvd,Queens,"Clothing, Shoes, Coats, Towels",40.678989,-73.750265,Carecycle Inc
920 Teller Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.826159,-73.915377,Helpsy
1018 Morris Park Ave,Bronx,"Clothing, Shoes",40.848202,-73.855483,Usagain LLC
6372 Amboy Rd,Staten Island,"Clothing, Shoes, Accessories, Bedding And Linens, Towels , Coats",40.522488,-74.216442,American Recycling Resources
375 Manor Rd,Staten Island,"Clothing, Shoes",40.618482,-74.123239,Usagain LLC
1535 Broadway,Manhattan,Denim only.,40.7587381,-73.986189,Levi Strauss
5414 Church Ave,Brooklyn,"Clothing, Shoes",40.652173,-73.925869,Usagain LLC
122-11 Hillside Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.702369,-73.82852,Helpsy
2190 Adam Clayton Powell Jr Blvd,Manhattan,"Clothing, Shoes, Coats",40.811944,-73.94661,Salem United Methodist Church
130 Havemeyer St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.712588,-73.957428,HELPSY
609 Hegeman Ave,Brooklyn,"Clothing, Shoes",40.66112,-73.88949,Usagain LLC
164-05 69 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.733392,-73.804502,Helpsy
111-54 Merrick Blvd,Queens,"Clothing, Shoes, Coats",40.693478,-73.780558,Allen Outreach Ministry Feeding Program
2285 Flatbush Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.614802,-73.927773,Helpsy
2655 Richmond Avenue,Staten Island,"Clothing & shoes. Bring in a minimum of 5 items & receive 15% off your next purchase. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.582063,-74.165618,GUESS
1 12th St,Brooklyn,"Clothing, Shoes, Coats, Accessories",40.672035,-73.996576,Big Reuse
1266 Third Ave,Manhattan,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.7704535,-73.96037,Journelle (Upper East Side)
614 W 114 St,Manhattan,"Clothing, Shoes, Coats",40.806877,-73.96586,Community Impact at Columbia University: Food Pantry
8715 3 Ave,Brooklyn,Contact store for details,40.62226,-74.03129,Consign Connection
443 Castleton Ave,Staten Island,"Clothing, Shoes",40.633966,-74.097198,Usagain LLC
21-02 21 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.78121,-73.915596,Helpsy
460 Quincy Ave,Bronx,"Clothing, Shoes",40.821293,-73.821482,Usagain LLC
1243 Fulton St,Brooklyn,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.680772,-73.951864,The Salvation Army Of Greater New York
716 Chester St,Brooklyn,"Clothing, Shoes, Coats",40.653702,-73.90776,Christian Cultural Center
199 Brook Ave,Bronx,"Clothing, Shoes",40.806641,-73.920227,Usagain LLC
666 5th Avenue,Manhattan,UNIQLO Clothing,40.76032,-73.97617,UNIQLO
1721 Nostrand Ave,Brooklyn,"Clothing, Shoes, Accessories",40.643842,-73.948427,Community Recycling LLC
537 Conduit Blvd,Brooklyn,"Clothing, Shoes, Accessories",40.677589,-73.869361,Community Recycling LLC
3210 Webster Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.874263,-73.873597,Helpsy
4220 Bronx Blvd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.895283,-73.860761,County Recycling LLC
937 Broadway,Brooklyn,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.697323,-73.935512,The Salvation Army Of Greater New York
3211B White Plains Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.871842,-73.867351,Helpsy
1720 Church Ave,Brooklyn,"Clothing, Shoes, Coats",40.649091,-73.96337,CAMBA Inc.
2348 Adam Clayton Powell Jr. Blvd,Manhattan,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels",40.817131,-73.942802,Iris House
56-02 Broadway,Queens,"Clothing, Shoes, Coats",40.752262,-73.904893,H&M Leasing Corp
125 Mercer St,Manhattan,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.7243186,-73.999215,Journelle (Soho)
121-08 15 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.784072,-73.846294,County Recycling LLC
102-16 89 Ave,Queens,"Clothing, Shoes, Coats, Accessories, Bedding And Linens, Towels",40.693131,-73.843549,Calvary's Mission
238 Vermont St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.673926,-73.894611,Helpsy
1104 Elder Ave,Bronx,"Clothing, Shoes, Accessories, Coats",40.82634,-73.878364,Feed My Sheep Community Pantry
181 Lexington Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.687331,-73.955155,Helpsy
1255 E Gun Hill Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.87247,-73.850429,County Recycling LLC
1040 Madison Ave,Manhattan,Contact store for details,40.776635,-73.962272,J. Crew
34-20 Junction Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.754153,-73.872642,Helpsy
408 Fulton St,Brooklyn,"Clothing, Shoes, Coats, Accessories",40.689382,-73.98156,MYUNIQUE Thrift Brooklyn
114 W 26 St,Manhattan,Contact store for details,40.74497,-73.99242,Buffalo Exchange
117-36 Farmers BlvdQ,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.690423,-73.762577,Helpsy
976 Park Pl,Brooklyn,"Clothing, Shoes, Bedding And Linens, Towels, Coats",40.672931,-73.94519,Anchor House: Women's Facility
3220 WESTCHESTER AVE,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.8518472,-73.828788,USAGAIN LLC
503 Broadway,Manhattan,"They accept any kind of clothing, fabrics, household linens, footwear, accessories, and jewelry.",40.7626903,-73.968264,Zara
599 AVENUE Z,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.58645,-73.97179,American Recycling Technologies Inc.
112-90 Guy R Brewer Blvd,Queens,"Clothing, Shoes",40.689446,-73.786276,Usagain LLC
202-16 Hillside Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.719959,-73.761139,Helpsy
55 Water St,Manhattan,Contact store for details,40.703323,-74.008896,J. Crew
3829 Ave K,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.626042,-73.938829,Green Tree Textiles
160 Park Hill Ave,Staten Island,"Clothing, Shoes, Coats, Accessories, Towels, Bedding",40.615753,-74.081192,Keepers of Christ Mystery Ministry
2001 Oriental Blvd T4-216,Brooklyn,Clothing,40.577814,-73.935561,CUNY EDGE Program at Kingsborough Community College
125-01 Rockaway Blvd,Queens,"Clothing, Shoes",40.675622,-73.81275,Usagain LLC
1164 Broadway,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.692735,-73.928244,Helpsy
218-26 141 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.671184,-73.755748,Helpsy
1021 Park Avenue,Manhattan,The nonprofit Free the Girls accepts gently-used bras at this store location.,40.7794718,-73.957267,Dr. Nina S. Naidu MD FACS
489 EAST NEW YORK AVE,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Coats",40.662039,-73.946493,American Recycling Resources
4068 3 Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.843397,-73.897563,Helpsy
5802 23 Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.616381,-73.975615,Helpsy
719 New Lots Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.666028,-73.884287,Helpsy
332 E 11th St,Manhattan,Contact store for details,40.729608,-73.98484,Buffalo Exchange
413 E 120th St,Manhattan,"Clothing, Coats",40.798345,-73.932548,"Sonia's Empowering Families Foundation, Inc."
70-20 Rockaway Beach Blvd,Queens,"Clothing, Shoes, Coats",40.590265,-73.799447,H&M Leasing Corp
21-01 Astoria Blvd,Queens,"Clothing, Shoes",40.772379,-73.925562,Usagain LLC
1129 Clarkson Ave,Brooklyn,"Clothing, Shoes",40.660647,-73.921122,Usagain LLC
155-15 Aguilar Ave,Queens,"Clothing, Shoes, Coats, Towels",40.728586,-73.812958,Carecycle Inc
521 Madison Ave,Manhattan,Contact store for details,40.759862,-73.973751,Eileen Fisher
1215 Sutter Ave,Brooklyn,"Clothing, Shoes",40.672815,-73.873239,Usagain LLC
209 Cross Bay Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.613687,-73.821183,Helpsy
104-38 Jamaica Ave,Queens,"Clothing, Shoes",40.69498,-73.842096,Usagain LLC
26-04 18 St,Queens,"Clothing, Shoes",40.77414,-73.92711,Usagain LLC
44-02 Astoria Blvd,Queens,"Clothing, Shoes",40.768021,-73.907002,Usagain LLC
30 E 17 St,Manhattan,"Clothing, Shoes, Linens, Accessories",40.73724,-73.991045,Union Square Greenmarket: GrowNYC Clothing & Textile Recycling Collections
331 Port Richmond Ave,Staten Island,"Clothing, Shoes",40.633485,-74.136245,Usagain LLC
409 Bushwick Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.703276,-73.937038,Usagain LLC
437 Bolton Ave,Bronx,"Clothing, Shoes",40.814619,-73.857792,Usagain LLC
110-14 Farmers Blvd,Queens,"Clothing, Shoes",40.702792,-73.766953,Usagain LLC
569 Wilson Ave,Brooklyn,"Clothing, Shoes",40.69108,-73.908517,Usagain LLC
4090 Boston Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.885608,-73.828246,Helpsy
1963 Broadway,Manhattan,"They accept any kind of clothing, fabrics, household linens, footwear, accessories, and jewelry.",40.7600369,-73.976398,Zara
1135 E 222 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.881958,-73.849295,Helpsy
66 E 96th St,Brooklyn,"Clothing, Shoes, Coats, Accessories, Towels, Bedding",40.664146,-73.925219,Lighthouse of Hope Outreach and Resource Center
166 Smith St,Brooklyn,"Clothing, Shoes, Accessories, Bedding And Linens, Towels , Coats",40.6860196,-73.991221,Lululemon
61-71 Riverdale Ave,Brooklyn,"Clothing, Shoes, Coats",40.660318,-73.914453,Urban Strategies Inc.
71 SULLIVAN st,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats, Rugs",40.72445,-74.00387,USAGAIN LLC
1221 Sutter Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.672837,-73.872987,Helpsy
277 Stuyvesant Ave,Brooklyn,"Clothing, Shoes, Coats",40.685124,-73.93217,Bridge Street Missionary AME Church
2025 Pitman Ave,Bronx,"Clothing, Shoes",40.897127,-73.844097,Usagain LLC
610 Broadway,Manhattan,"Clothing & shoes. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.725563,-73.996317,Adidas
115-34 Sutphin Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.683919,-73.792699,Helpsy
1245 Broadway,Brooklyn,"Clothing, Shoes, Coats",40.691546,-73.925189,Broadway House Women's Shelter (CAMBA)
89-11 Merrick Blvd,Queens,Accessories,40.707786,-73.794721,The Job & Business Academy at Queens Library
3315 White Plains Rd,Bronx,"Clothing, Shoes",40.873622,-73.867298,Usagain LLC
1320 Richmond Terrace,Staten Island,"Clothing, Shoes, Coats",40.642458,-74.114063,H&M Leasing Corp
151 7th Ave,Brooklyn,Used Athletic Shoes collected on behalf of MORE Foundation.,40.672484,-73.976579,JackRabbit
159-04 Harlem River Dr,Manhattan,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.833244,-73.936106,Helpsy
4801 Kings Hwy,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.633131,-73.930081,Helpsy
436 Atlantic Ave,Brooklyn,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.686227,-73.983967,The Salvation Army Of Greater New York
90 Lafayette St,Manhattan,"Clothing, Shoes, Coats, Bedding And Linens, Accessories",40.717536,-74.001621,Bowery Mission - Tribeca
486 Broadway,Manhattan,Contact store for details,40.721543,-73.999692,Madewell
3501 Boston Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.877349,-73.846065,Helpsy
700 Sutter Ave,Brooklyn,"Clothing, Shoes",40.669383,-73.892762,Usagain LLC
1544 EAST 174 ST,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.8339892,-73.878913,USAGAIN LLC
660 W 237 St,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.887701,-73.91361,Green Tree Textiles at Riverdale Y Sunday Market
179-05 Linden Blvd,Brooklyn,"Clothing, Shoes",40.652756,-73.951888,Usagain LLC
453 Broome Street,Manhattan,"Clothing & shoes. Bring in your unwanted items & receive an exclusive bag made from re-purposed fabrics while supplies last. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.72218,-74.00089,Suitsupply
215-31 99th Ave,Queens,"Clothing, Coats, Shoes, Towels, Bedding",40.714859,-73.742972,Divine Truth Ministry
2463 Westchester Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.838194,-73.845508,Helpsy
10 Columbus Circle,Manhattan,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.76843,-73.98307,H&M
600 Pelham Pkwy,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.856475,-73.868864,Helpsy
107-55 64 Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.732974,-73.850783,Helpsy
145-41 228 St,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.660866,-73.752063,Helpsy
125 Maiden Ln,Manhattan,"Clothing, Shoes, Accessories",40.706725,-74.006463,Career Gear
127 N 6Th St,Brooklyn,Contact store for details,40.718046,-73.959012,Madewell
10 Brown Ave,Staten Island,"Clothing, Shoes, Accessories",40.550579,-74.149968,Great Kills Thrift Shop
961 E 174 St,Bronx,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.837478,-73.884181,American Recycling Technologies Inc.
1066 E 103 St,Brooklyn,"Clothing, Shoes",40.643505,-73.893181,Usagain LLC
680 Liberty Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.675957,-73.88447,Helpsy
2402 Atlantic Ave,Brooklyn,"Clothing, Shoes, Coats",40.675746,-73.905301,Atlantic House Men's Shelter (CAMBA)
156-05 Rockaway Blvd,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.666609,-73.779446,Helpsy
35 Holland Ave,Staten Island,"Clothing, Shoes, Bedding And Linens, Coats, Accessories, Rugs, Towels",40.639331,-74.170393,"WORLD ASSOCIATION FOR COMMUNITY EMPOWERMENT, INC."
24602 S Conduit Ave,Queens,"Clothing, Shoes",40.665167,-73.732595,Usagain LLC
34-02 Steinway St,Queens,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.756551,-73.921332,The Salvation Army Of Greater New York
272-10 Union Tpke,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats, Rugs",40.752164,-73.701555,Friendship Circle
445 Beach 129 St,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.579056,-73.850023,Helpsy
220-46 Hillside Ave,Queens,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.730872,-73.742261,Helpsy
1911-21 Jerome Ave,Bronx,"Clothing, Shoes, Coats, Accessories",40.850475,-73.910377,Susan's Place Classic Re-Runs (Care For The Homeless)
1292 Southern Blvd,Bronx,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.830641,-73.891476,The Salvation Army Of Greater New York
24 W 26 St,Manhattan,Contact store for details,40.744027,-73.99012,Crossroads Trading Co.
40-24 College Point Boulevard,Queens,UNIQLO Clothing,40.75728,-73.8357,UNIQLO
259 46 St,Brooklyn,"clothing, shoes, coats, accessories, bedding, towels, other",40.6557,-73.9345,HELPSY
2424 Flatbush Ave,Brooklyn,"Clothing, Shoes, Accessories",40.61051,-73.923995,Community Recycling LLC
938 E 163 St,Bronx,"Clothing, Shoes, Coats",40.82071,-73.896276,H&M Leasing Corp
89-17 139 St,Queens,"Clothing, Shoes, Coats, Accessories, Beddings And Linens, Towels",40.702179,-73.812647,Jesus Is the Answer - J.I.T.A. Community Outreach
125 Arlington Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.680285,-73.890122,Helpsy
9015 Queens Blvd,Queens,"Clothing & shoes. Bring in a minimum of 5 items & receive 15% off your next purchase. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.73419,-73.87103,GUESS Accessories
333 First Ave,Manhattan,"Clothing, Shoes, Accessories, Coats",40.734749,-73.980443,Cauz For Pawz
1383 Jefferson Ave,Brooklyn,"clothing, shoes, coats, accessories, bedding, towels, other",40.69481,-73.91016,HELPSY
6201 Broadway,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.895995,-73.897011,Helpsy
2359 Jerome Ave,Bronx,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.86031,-73.903077,The Salvation Army Of Greater New York
3056 Avenue X,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.594249,-73.935457,Helpsy
159 Monitor St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.72462,-73.94225,Green Tree Textiles at McGolrick Park's Down to Earth Farmer's Market
2049 Bartow Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.870454,-73.829111,County Recycling LLC
167 Chester St,Brooklyn,"Clothing, Shoes",40.66771,-73.910938,Usagain LLC
345 West 14th Street,New York,"Clothing & shoes. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.7408927,-74.004446,Columbia Sportswear
2340 Cambreleng Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.853639,-73.885104,Helpsy
1501 Morris Ave,Bronx,"Clothing, Shoes, Coats, Accessories, Bedding And Linens, Towels, Rugs",40.841085,-73.909812,Goodwill Agents International Inc
874 Myrtle Ave,Brooklyn,"Clothing, Shoes, Coats",40.695399,-73.947095,St. Stephen Outreach Community Development Corporation
230 W 230 St,Bronx,"Clothing, Shoes",40.878941,-73.909531,Usagain LLC
2475 Boston Rd,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.86299,-73.866234,Helpsy
666 5 Ave,Manhattan,Contact store for details,40.7496531,-73.986585,Zara
402 3 Ave,Manhattan,"Clothing, Shoes, Coats, Accessories",40.742386,-73.98083,Unique Boutique Thrift Shop
460 W 41 St,Manhattan,"Clothing, Shoes, Coats",40.758446,-73.995996,Covenant House New York
79-18 Eliot Ave,Queens,"Towels, Bedding",40.724774,-73.8794,Forest Hills Cat Hospital
2532-54 86 St,Brooklyn,"Clothing, Shoes, Coats, Towels",40.597086,-73.986355,Carecycle Inc
112 Fourth Ave,Manhattan,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.73259,-73.990464,The Salvation Army Of Greater New York
2300 Randall Ave,Bronx,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.81901,-73.844387,Helpsy
1450 Atlantic Ave,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.677926,-73.943904,Helpsy
1933 Bath Ave,Brooklyn,"Clothing, Shoes, Accessories",40.602343,-74.002699,Community Recycling LLC
417 Junius St,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.664529,-73.90126,Helpsy
7107 New Utrecht Ave8,Brooklyn,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.618629,-73.998828,Helpsy
333 E 149th St,Bronx,"Clothing, Shoes, Coats",40.816963,-73.920218,Cardinal McCloskey Sunrise Drop in Center
13 Clarke Ave,Staten Island,"Clothing, Shoes, Coats, Accessories, Bedding, Towels, Other",40.564933,-74.131671,American Recycling Technologies Inc.
4882 Arthur Kill Rd,Staten Island,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.523132,-74.23911,Helpsy
170-20 140th Ave,Queens,"Clothing, Shoes, Coats",40.670354,-73.770245,Project Hope Charities
193-01 Northern Blvd,Queens,"Clothing, Shoes, Coats, Towels",40.758172,-73.787958,Carecycle Inc
262 NORWAY ave,Staten Island,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.59212,-74.07796,USAGAIN LLC
123 W 115 St,Manhattan,"Clothing, Shoes, Coats",40.802019,-73.951205,"FACES NY, Inc."
